el este,схід,noun
el oeste,захід,noun
pequeño,маленький,adjective
el poblado,село,noun
el resto,решта,noun
el loro,папуга,noun
qúe,що,pronoun
parece,здаватися,verb
ninguno,ніхто,pronoun
raro,рідкісний,adjective
normalmente,зазвичай,adverb
el cielo,небо,noun
creer,вірити,verb
primero,перший,adjective
secundo,другий,adjective
tercero,третій,adjective
cuarto,четвертий,adjective
quinto,п'ятий,adjective
sexto,шостий,adjective
séptimo,сьомий,adjective
octavo,восьмий,adjective
noveno,дев'ятий,adjective
décimo,десятий,adjective
el mercado,ринок,noun
además,крім того,conjunction
el cerro,пагорб,noun
el ruido,шум,noun
el luz,світло,noun
poco,мало,adjective
mucho,багато,adjective
allí,там далеко,adverb
ahí,там не дуже далеко,adverb
aquí,тут,adverb
lejos,далеко,adverb
cerca,поруч,adverb
encima de,над,preposition
debajo de,під,preposition
bajo,під,preposition
al lado de,поруч,preposition
dentro de,всередині,preposition
a la izquierda de,ліворуч від,preposition
entre,між,preposition
a la derecha de,праворуч від,preposition
delante de,перед,preposition
detrás de,позаду,preposition
aldedor de,навколо,preposition
el párajo,птах,noun
el paraguas,парасолька,noun
el avión,літак,noun
la nube,хмара,noun
animado,жвавий,adjective
la cosa,річ,noun
el colegio,школа,noun
el sofá,диван,noun
comodó,зручний,adjective
viejo,старий,adjective
nuevo,новий,adjective
sin,без,preposition
oscuro,темний,adjective
con,з,preposition
el barco,корабель,noun
el tren,поїзд,noun
el metro,метро,noun
el autobús,автобус,noun
la bicicleta,велосипед,noun
el taxi,таксі,noun
la gastronomia,гастрономія,noun
tranquilidad,спокій,adjective
el museó,музей,noun
la iglesia,церква,noun
el mirador,видовище,noun
el supermercado,супермаркет,noun
aunque,хоча,conjunction
la parada,зупинка,noun
puntual,пунктуальний,adjective
contaminante,забруднюючий,adjective
cansado,втомлений,adjective
peligroso,небезпечний,adjective
caro,дорогий,adjective
lento,повільний,adjective
cuando,коли,conjunction
porque,тому що,conjunction
variado,різноманітний,adjective
rápido,швидкий,adjective
cómodo,зручний,adjective
seguro,безпечний,adjective
relajante,релаксуючий,adjective
dormir,спати,verb
preferir,віддавати перевагу,verb
poder,могти,verb
barato,дешевий,adjective
el cementerio,цвинтар,noun
libre,вільний,adjective
el tiempo,час,noun
el aeropuerto,аеропорт,noun
el caballo,кінь,noun
descansar,відпочивати,verb
tomar el sol,загоряти,phrase
ir a la montaña,ходити в гори,phrase
el aparcamiento,парковка,noun
cada día,кожен день,adverb
la piscina,басейн,noun
la parque infantil,дитячий майданчик,noun
el estación de tren,залізничний вокзал,noun
buscar,шукати,verb
cada uno,кожен,pronoun
cómo,як,adverb
dónde,де/куди,adverb
cuántos,скільки,adverb
cuál,який,adverb
cuáles,які,adverb
cuándo,коли,adverb
por,на,preposition
los patinos,ролики,noun
el patinete,самокат,noun
el tranvía,трамвай,noun
aterrizar,приземлятися,verb
el reparditor,кур'єр,noun
la carretera,шосе,noun
llegar,прибувати,verb
el edificio,будівля,noun
el paseo,прогулянка,noun
el lugar,місце,noun
comprar,купувати,verb
ver,дивитися,verb
cantar,співати,verb
querer,хотіти,verb
lo mejor,найкраще,phrase
lo peor,найгірше,phrase
el ventilador,вентилятор,noun
la atención,увага,noun
todo,все,pronoun
desde,з,preposition
desayunar,снідати,verb
costar,коштувати,verb
pagar,платити,verb
el vuelo,політ,noun
la estrella,зірка,noun
el translado,переклад,noun
el destino,місце призначення,noun
caminar,йти пішки,verb
facíl,легко,adjective
De nada,Не за що,phrase
la familia,сім'я,noun
menor,менший,adjective
mejor,кращий,adjective
el nieto,внук,noun
el marido,муж,noun
pareja,пара,noun
delgado,худий,adjective
el pelo,волосся,noun
moreno,темний,adjective
castaño,каштановий,adjective
la barba,борода,noun
el bigote,вуса,noun
lleva,носити,verb
rizado,кудрявий,adjective
rubio,русявий,adjective
timida,сором'язлива,adjective
algodón,бавовна,noun
lana,вовна,noun
piel,шкіра,noun
cuero,шкіра,noun
seda,шовк,noun
vaqueros,джинси,noun
la camiseta,футболка,noun
el punto,точка,noun
el envio,відправка,noun
zapatillas,кросівки,noun
aprender,вивчати,verb
comer,їсти,verb
correr,бігати,verb
abrir,відкривати,verb
subir,підніматися,verb
la pelota,м'яч,noun
jugar,грати,verb
decir,говорити,verb
el versiculo,вірш,noun
el bolso,сумка,noun
zapatos de tacón,туфлі на підборах,noun
las zapatillas de deporte,спортивні кросівки,noun
luego,потім,adverb
el sombrero,капелюх,noun
los calcetines,шкарпетки,noun
el hoyo,яма,noun
sucio,брудний,adjective
la botella,пляшка,noun
la tira,полоска,noun
el basurero,смітник,noun
llorar,плакати,verb
mirar,дивитися,verb
otro,інший,adjective
esconderse,ховатися,verb
gordo,товстий,adjective
liso,прямий,adjective
la falda,спідниця,noun
la camisa,сорочка,noun
calor,тепло,noun
el canape,канапе,noun
gafas,окуляри,noun
el vestigo,сукня,noun
sobre,про,preposition
timido,сором'язливий,adjective
vago,лінивий,adjective
torpe,нерозумний,adjective
siempre,завжди,adverb
a menudo,часто,adverb
con frecuencia,часто,adverb
a veces,іноді,adverb
nuncas,ніколи,adverb
Navidad,Різдво,noun
saber,знати,verb
quien,хто,noun
todavía,досі,adverb
junto,біля,adverb
pasear,гуляти,verb
el campo,поле,noun
pintar,фарбувати,verb
Qué hora es?,Котра година?,phrase
lavarte los dientes,чистити зуби,verb
acostarse,лежати,verb
temprano,рано,adverb
levantarse,підніматися,verb
más,більше,adverb
empezar,починати,verb
comenzar,починати,verb
pedir,просити,verb
dar,давати,verb
venir,приходити,verb
sobrina,племінниця,noun
la noticia,новина,noun
pensar,думати,verb
entender,розуміти,verb
cerrar,закривати,verb
encontar,знаходити,verb
volver,повертатися,verb
reír,сміятися,verb
medir,вимірювати,verb
impedir,запобігати,verb
salir,виходити,verb
caer,падати,verb
traer,приносити,verb
valer,коштувати,verb
conocer,знати,verb
conducir,водити,verb
agradecer,вдячний,verb
nacer,народжуватися,verb
oír,слухати,verb
el apellido,прізвище,noun
el horario,розклад,noun
casi,майже,adverb
